epoch,train_loss,train_acc,val_loss,val_acc
1,1.2534,57.53,0.3353,92.53
2,0.2749,92.27,0.0893,97.33
3,0.1653,94.97,0.0805,97.36
4,0.1378,95.67,0.0463,98.51
5,0.1207,96.3,0.0489,98.41
6,0.1074,96.7,0.0509,98.3
7,0.0973,97.08,0.0532,98.34
8,0.0917,97.18,0.0596,98.09
9,0.0873,97.34,0.0397,98.79
10,0.0805,97.55,0.0442,98.51
11,0.0788,97.59,0.0385,98.83
12,0.0682,97.91,0.0383,98.86
13,0.0621,98.13,0.027,99.18
14,0.055,98.36,0.03,99.02
15,0.0491,98.53,0.0278,99.15
16,0.0428,98.74,0.0205,99.38
17,0.0373,98.95,0.0184,99.48
18,0.0343,98.96,0.0184,99.48
19,0.0323,99.03,0.0176,99.49
